name,party,option_code,color,
"Karel Prazak (Usvit, Jihocesky)",Usvit,-1,yellowgreen,3
"Augustin Karel Andrle Sylor (Usvit, Pardubicky)",Usvit,-1,yellowgreen,3
"Tomio Okamura (Usvit, Stredocesky)",Usvit,-1,yellowgreen,3
"Radim Fiala (Usvit, Olomoucky)",Usvit,-1,yellowgreen,3
"Karel Fiedler (Usvit, Moravskoslezsky)",Usvit,-1,yellowgreen,3
"Olga Havlova (Usvit, Moravskoslezsky)",Usvit,-1,yellowgreen,3
"Jana Hnykova (Usvit, Liberecky)",Usvit,-1,yellowgreen,3
"Jaroslav Holik (Usvit, Zlinsky)",Usvit,-1,yellowgreen,3
"Martin Lank (Usvit, Vysocina)",Usvit,-1,yellowgreen,3
"Milan Sarapatka (Usvit, Praha)",Usvit,-1,yellowgreen,3
"Jiri Stetina (Usvit, Kralovehradecky)",Usvit,-1,yellowgreen,3
"Pavel Cihak (ANO, Stredocesky)",ANO,-1,cyan,4
"Jiri Holecek (ANO, Praha)",ANO,-1,cyan,4
"Igor Nykl (ANO, Moravskoslezsky)",ANO,-1,cyan,4
"Jiri Zlatuska (ANO, Praha)",ANO,-1,cyan,4
"Richard Brabec (ANO, Ustecky)",ANO,-1,cyan,4
"Matej Fichtner (ANO, Praha)",ANO,-1,cyan,4
"Bohuslav Chalupa (ANO, Jihomoravsky)",ANO,-1,cyan,4
"Vera Jourova (ANO, Vysocina)",ANO,-1,cyan,4
"Martin Kolovratnik (ANO, Pardubicky)",ANO,-1,cyan,4
"Martin Komarek (ANO, Liberecky)",ANO,-1,cyan,4
"Radka Maxova (ANO, Jihocesky)",ANO,-1,cyan,4
"Roman Prochazka (ANO, Karlovarsky)",ANO,-1,cyan,4
"Zdenek Soukup (ANO, Karlovarsky)",ANO,-1,cyan,4
"Rostislav Vyzula (ANO, Jihomoravsky)",ANO,-1,cyan,4
"Josef Kott (ANO, Vysocina)",ANO,-1,cyan,4
"Milos Babis (ANO, Stredocesky)",ANO,-1,cyan,4
"Martina Berdychova (ANO, Kralovehradecky)",ANO,-1,cyan,4
"Stanislav Berkovec (ANO, Stredocesky)",ANO,-1,cyan,4
"Ivana Dobesova (ANO, Stredocesky)",ANO,-1,cyan,4
"Jaroslav Faltynek (ANO, Olomoucky)",ANO,-1,cyan,4
"Josef Hajek (ANO, Moravskoslezsky)",ANO,-1,cyan,4
"David Kasal (ANO, Pardubicky)",ANO,-1,cyan,4
"Roman Kubicek (ANO, Jihocesky)",ANO,-1,cyan,4
"Ladislav Oklestek (ANO, Olomoucky)",ANO,-1,cyan,4
"Jana Pastuchova (ANO, Liberecky)",ANO,-1,cyan,4
"Stanislav Pfleger (ANO, Ustecky)",ANO,-1,cyan,4
"Ivan Pilny (ANO, Kralovehradecky)",ANO,-1,cyan,4
"Pavel Plzak (ANO, Kralovehradecky)",ANO,-1,cyan,4
"Karel Rais (ANO, Jihomoravsky)",ANO,-1,cyan,4
"Jan Sedlacek (ANO, Moravskoslezsky)",ANO,-1,cyan,4
"Martin Sedlar (ANO, Moravskoslezsky)",ANO,-1,cyan,4
"Bronislav Schwarz (ANO, Ustecky)",ANO,-1,cyan,4
"Pavel Sramek (ANO, Plzensky)",ANO,-1,cyan,4
"Pavel Volcik (ANO, Zlinsky)",ANO,-1,cyan,4
"Jan Volny (ANO, Plzensky)",ANO,-1,cyan,4
"Radek Vondracek (ANO, Zlinsky)",ANO,-1,cyan,4
"Josef Vozdecky (ANO, Plzensky)",ANO,-1,cyan,4
"Vlastimil Vozka (ANO, Ustecky)",ANO,-1,cyan,4
"Kristyna Zelienkova (ANO, Stredocesky)",ANO,-1,cyan,4
"Jan Bartosek (KDU-CSL, Jihocesky)",KDU-CSL,-1,yellow,5
"Ondrej Benesik (KDU-CSL, Zlinsky)",KDU-CSL,-1,yellow,5
"Daniel Herman (KDU-CSL, Praha)",KDU-CSL,-1,yellow,5
"Ludvik Hovorka (KDU-CSL, Zlinsky)",KDU-CSL,-1,yellow,5
"Jiri Junek (KDU-CSL, Pardubicky)",KDU-CSL,-1,yellow,5
"Vit Kankovsky (KDU-CSL, Vysocina)",KDU-CSL,-1,yellow,5
"Jaroslav Klaska (KDU-CSL, Jihomoravsky)",KDU-CSL,-1,yellow,5
"Petr Kudela (KDU-CSL, Moravskoslezsky)",KDU-CSL,-1,yellow,5
"Jiri Mihola (KDU-CSL, Jihomoravsky)",KDU-CSL,-1,yellow,5
"Tomas Jan Podivinsky (KDU-CSL, Moravskoslezsky)",KDU-CSL,-1,yellow,5
"Josef Uhlik (KDU-CSL, Jihomoravsky)",KDU-CSL,-1,yellow,5
"Marketa Adamova (TOP 09, Praha)",TOP 09,-1,darkviolet,6
"Jan Farsky (TOP 09, Liberecky)",TOP 09,-1,darkviolet,6
"Zdenek Bezecny (TOP 09, Jihocesky)",TOP 09,-1,darkviolet,6
"Petr Gazdik (TOP 09, Zlinsky)",TOP 09,-1,darkviolet,6
"Leos Heger (TOP 09, Kralovehradecky)",TOP 09,-1,darkviolet,6
"Vaclav Horacek (TOP 09, Liberecky)",TOP 09,-1,darkviolet,6
"Jitka Chalankova (TOP 09, Olomoucky)",TOP 09,-1,darkviolet,6
